"name","age","hometown","boarded","destination","lifeboat","body","class","home_country","Lifeboat","Destination","Boarded","survival_outcome","position","crew_type","crew","sex","age_character","household_assistant_type","household_assistant","household_assistant_to_whom"
"Lobb, Mr. William Arthur",30,"Scranton, Pennsylvania","Southampton","Scranton, Pennsylvania, US",NA,NA,"Third","US",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Lobb, Mrs. Cordelia K. (née Stanlick)",26,"Scranton, Pennsylvania","Southampton","Scranton, Pennsylvania, US",NA,NA,"Third","US",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"Lockyer, Mr. Edward Thomas",21,"Sandhurst, Kent","Southampton","Ontario, New York, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Lovell, Mr. John Hall (""Henry"")",20,"Northlew, Devon","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Ludvigsen Mrs. Aase",24,"London","Southampton","New York City","14",NA,"Third","England",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Lulić, Mr. Nikola",29,"Konjsko Brdo","Southampton","Chicago, Illinois, US","15",NA,"Third","Croatia",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","29",NA,"Not Assistant",NA
"Lundahl, Mr. Johan Svensson",51,"Fyrnan, Småland","Southampton","Spokane, Washington, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","51",NA,"Not Assistant",NA
"Lundström, Mr. Thure Edvin",32,"Simrishamn, Skåne","Southampton","Los Angeles, US","15",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"Lymperopoulus, Mr. Panagiotis K.",30,"Áyios Sóstis","Cherbourg","Stamford, Connecticut US",NA,NA,"Third","Greece",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Lyntakoff, Mr. Stanko",44,"Unknown","Southampton","Coon Rapids, Iowa, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","44",NA,"Not Assistant",NA
"Mackay, Mr. George William",20,"London","Southampton","Rochester, New York, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Madigan, Miss Margaret ""Maggie""",21,"Askeaton, Limerick","Queenstown","New York City","15",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","21",NA,"Not Assistant",NA
"Madsen, Mr. Fridtjof Arne",24,"Trondheim","Southampton","Brooklyn, New York, US","13",NA,"Third","Norway",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Mäenpää, Mr. Matti Alexanteri",22,"Kauhajoki","Southampton","Sudbury, Ontario, Canada",NA,NA,"Third","Finland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Mahon, Miss Bridget Delia",20,"Derrymartin, Mayo","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","20",NA,"Not Assistant",NA
"Maisner, Mr. Simon",34,"London","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","34",NA,"Not Assistant",NA
"Mäkinen, Mr. Kalle Edvard",29,"Ikaalinen, Pirkanmaa","Southampton","Glassport, Pennsylvania, US",NA,NA,"Third","Finland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","29",NA,"Not Assistant",NA
"Mamee, Mr. Hanna",20,"Tripoli","Cherbourg","Philadelphia, Pennsylvania, US","15",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Mangan, Miss Mary",32,"Carrowkehine, Mayo","Queenstown","Chicago, Illinois, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","32",NA,"Not Assistant",NA
"Mannion, Miss Margaret",28,"Caltra, Galway","Queenstown","New York City","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Mardirosian, Mr. Sarkis",25,"Kiğı","Cherbourg","Brantford, Ontario, Canada",NA,NA,"Third","Turkey",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Marinko, Mr. Dmitri",23,"Unknown","Southampton","New York City",NA,NA,"Third","Macedonia",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Markoff, Mr. Marin",35,"Gumostnik, Lovec","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","35",NA,"Not Assistant",NA
"Markun, Mr. Johann",33,"Milje","Cherbourg","New York City",NA,NA,"Third","Slovenia",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Matinoff, Mr. Nicola",30,"Gabrovo","Cherbourg","Madison, Wisconsin, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"McCarthy, Miss Catherine ""Katie""",24,"Tipperary","Queenstown","Bayonne, New Jersey, US","?",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"McCormack, Mr. Thomas Joseph",19,"Bayonne, New Jersey","Queenstown","Guttenberg, New Jersey, US","15",NA,"Third","US",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"McCoy, Miss Catherine Agnes",29,"Carrickatane, Tyrone","Queenstown","Brooklyn, New York, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"McCoy, Miss Alice",26,"Carrickatane, Tyrone","Queenstown","Brooklyn, New York, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"McCoy, Mr. Bernard",24,"Carrickatane, Tyrone","Queenstown","Brooklyn, New York, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"McDermott, Miss Bridget Delia",31,"Lahardane, Mayo","Queenstown","Chicago, Illinois, US","13",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","31",NA,"Not Assistant",NA
"McEvoy, Mr. Michael",19,"Dublin","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"McGovern, Miss Mary",22,"Corlough, Cavan","Queenstown","New York City","13",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"McGowan, Miss Anna F. ""Annie""",16,"Massbrook, Mayo","Queenstown","Chicago, Illinois, US","13",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","16",NA,"Not Assistant",NA
"McGowan, Miss Catherine",42,"Terry, Mayo","Queenstown","Chicago, Illinois, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","42",NA,"Not Assistant",NA
"McMahon, Mr. Martin",20,"Craghbrien, Clare","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"McNamee, Mr. Neal",27,"Convoy, Donegal, Ireland","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"McNamee, Mrs. Eileen (née O'Leary)",19,"Salisbury, Wiltshire","Southampton","Philadelphia, Pennsylvania, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","19",NA,"Not Assistant",NA
"McNeill, Miss Bridget",27,"Trien, Roscommon","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","27",NA,"Not Assistant",NA
"Meanwell, Mrs. Mary Ann",63,"Eastbourne, East Sussex","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","63",NA,"Not Assistant",NA
"Meehan, Mr. John",22,"Currowhunane, Sligo","Queenstown","Patterson, New Jersey, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Meek, Mrs. Anna ""Annie"" Louise Rowley",31,"Penarth, Glamorgan","Southampton","New York City",NA,NA,"Third","Wales",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","31",NA,"Not Assistant",NA
"Jeanie, Mrs. Beanie The (née Meanie)",6,"London, England, UK","Everett, Washington, USA","14",NA,NA,"Third","Southampton",14,"Everett, Washington, USA",NA,"Survived",NA,NA,"Not Crew","Female","6",NA,"Not Assistant",NA
"Meanie, Miss Maliza Mae (née Jones)",24,"London, England, UK","Everett, Washington, USA","14",NA,NA,"Third","Southampton",14,"Everett, Washington, USA",NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Meo-Martino, Mr. Alfonzo",48,"Bournemouth, Dorset","Southampton","Washington, D.C. US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","48",NA,"Not Assistant",NA
"Mernagh, Mr. John Robert",26,"Ballywilliam, Wexford","Queenstown","Chicago, Illinois, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","26",NA,"Not Assistant",NA
"Midtsjø, Mr. Karl Albert",21,"Krøkstad, Ski","Southampton","Chicago, Illinois, US","15",NA,"Third","Norway",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Mihoff, Mr. Stoytcho",28,"Gumostnik, Lovec","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Miles, Mr. Frank",23,"Greenwich, London","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Mineff, Mr. Ivan",24,"Unknown","Southampton","Coon Rapids, Iowa, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","24",NA,"Not Assistant",NA
"Minkoff, Mr. Lazar",21,"Gumostnik, Lovec","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Mitkoff, Mr. Mito",23,"Unknown","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Mockler, Miss Ellen Mary",23,"Currafarry, Galway","Queenstown","New York City","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","23",NA,"Not Assistant",NA
"Moen, Mr. Sigurd Hansen",25,"Bergen","Southampton","Minneapolis, Minnesota, US",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","25",NA,"Not Assistant",NA
"Moor, Mrs. Beila",29,"Unknown","Southampton","Chicago, Illinois, US","14",NA,"Third","Russia",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Moor, Master Meier",7,"Unknown","Southampton","Chicago, Illinois, US","14",NA,"Third","Russia",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","7",NA,"Not Assistant",NA
"Moore, Mr. Leonard Charles",19,"Kingston upon Thames, London","Southampton","Hoboken, New Jersey, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","19",NA,"Not Assistant",NA
"Moran, Miss Bertha Bridget",28,"Askeaton, Limerick","Queenstown","Brooklyn, New York, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","28",NA,"Not Assistant",NA
"Moran, Mr. Daniel James",27,"Askeaton, Limerick","Queenstown","Brooklyn, New York, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Morley, Mr. William",34,"Petworth, West Sussex","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","34",NA,"Not Assistant",NA
"Morrow, Mr. Thomas Rowan",30,"Rathfriland, Down","Queenstown","Gleichen, Alberta, Canada",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","30",NA,"Not Assistant",NA
"Moss, Mr. Albert Johan",29,"Bergen","Southampton","New York City","B",NA,"Third","Norway",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","29",NA,"Not Assistant",NA
"Moussa, Mrs. Mantoura",35,"Hardîne","Cherbourg","Wilkes-Barre, Pennsylvania, US","?",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","35",NA,"Not Assistant",NA
"Moutal, Mr. Rahamin Haim",28,"London","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Mubarik, Mrs. Amanah Fa'ud (née Iskandar)",24,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"Mubarik, Master Gerios",7,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","7",NA,"Not Assistant",NA
"Mubarik, Master Halim Gonios",4,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","4",NA,"Not Assistant",NA
"Mullen, Miss Katherine ""Katie""",19,"Esker, Longford","Queenstown","New York City","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","19",NA,"Not Assistant",NA
"Mulvihill, Miss Bridget Elizabeth ""Bertha""",25,"Athlone, Westmeath","Queenstown","Providence, Rhode Island, US","15",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","25",NA,"Not Assistant",NA
"Murdlin, Mr. Joseph",22,"London","Southampton","New York City",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Murphy, Miss Catherine ""Kate""",18,"Aghnacliffe, Longford","Queenstown","Philadelphia, Pennsylvania, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","18",NA,"Not Assistant",NA
"Murphy, Miss Margaret Jane ""Maggie/Mary""",25,"Fostragh, Longford","Queenstown","Philadelphia, Pennsylvania, US","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","25",NA,"Not Assistant",NA
"Murphy, Miss Nora",34,"Dublin","Queenstown","New York City","16",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","34",NA,"Not Assistant",NA
"Muslamani, Mrs. Fatimah",22,"Tebnine","Cherbourg","Michigan City, Indiana, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",18,"Kristinehamn, Värmland","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","18",NA,"Not Assistant",NA
"Nackid, Mr. Sahid",20,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Nackid, Miss Waika ""Mary"" (née Mowad)",19,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","19",NA,"Not Assistant",NA
"Nackid, Miss Maria",1,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","1",NA,"Not Assistant",NA
"Naidenoff, Mr. Penko",22,"Gumostnik, Lovech","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Nakli-Khoury, Mr. Toufik",17,"Hardîne","Cherbourg","New York City",NA,NA,"Third","Lebanon",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","17",NA,"Not Assistant",NA
"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall","Southampton","Yonkers, New York, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","33",NA,"Not Assistant",NA
"Nankoff, Mr. Minko",32,"Unknown","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"Nasr Alma, Mr. Mustafa",20,"Tebnine","Cherbourg","New York City",NA,NA,"Third","Lebanon",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Nassr Rizq, Mr. Saade",20,"Sir'Al","Cherbourg","New York City",NA,NA,"Third","Lebanon",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Naughton, Miss Hannah",21,"Donoughmore","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","21",NA,"Not Assistant",NA
"Nenkoff, Mr. Christo",22,"Unknown","Southampton","Coon Rapids, Iowa, US",NA,NA,"Third","Bulgaria",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"Nieminen, Miss Manta Josefiina",29,"Karinainen","Southampton","Aberdeen, Washington, US",NA,NA,"Third","Finland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Niklasson, Mr. Samuel",28,"Västra Bogane, Orust Island","Southampton","New York City",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Nilsson, Mr. August Ferdinand",21,"Hörby, Skåne","Southampton","St. Paul, Minnesota, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Nilsson, Miss Berta Olivia",18,"Lysvik, Värmland","Southampton","Missoula, Montana, US","D",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","18",NA,"Not Assistant",NA
"Nilsson, Miss Helmina Josefina",26,"Ramkvilla, Småland","Southampton","Joliet, Illinois, US","13",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"Niqula-Yarid, Miss Jamilah",14,"El-Hakour","Cherbourg","Jacksonville, Florida, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","14",NA,"Not Assistant",NA
"Niqula-Yarid, Master Ilyas",12,"El-Hakour","Cherbourg","Jacksonville, Florida, US","C",NA,"Third","Lebanon",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","12",NA,"Not Assistant",NA
"Nirva, Mr. Iisakki Antino Äijö",41,"Kauhajoki","Southampton","Sudbury, Ontario, Canada",NA,NA,"Third","Finland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","41",NA,"Not Assistant",NA
"Niskanen, Mr. Juha",39,"Kivijärvi","Southampton","Boston, Massachusetts, US","9",NA,"Third","Finland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","39",NA,"Not Assistant",NA
"Nofal, Mr. Mansur",20,"Kafr Mishki","Cherbourg","Ottawa, Ontario, Canada",NA,NA,"Third","Lebanon",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon","Southampton","Buffalo, New York, US",NA,NA,"Third","England",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"Nysten, Miss Anna Sofia",22,"Kisa, Östergötland","Southampton","Hackensack, New Jersey, US","13",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"Nysveen, Mr. Johan Hansen",61,"Øyer","Southampton","Grand Forks, North Dakota, US",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","61",NA,"Not Assistant",NA
"O'Brien, Mr. Thomas",27,"Pallasgreen, Limerick","Queenstown","Chicago, Illinois, US",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"O'Brien, Mrs. Johanna ""Hannah"" (née Godfrey)",26,"Pallasgreen, Limerick","Queenstown","New York City","?",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","26",NA,"Not Assistant",NA
"O'Brien, Mr. Timothy",21,"Drimoleague, Cork","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","21",NA,"Not Assistant",NA
"O'Connell, Mr. Patrick Denis",17,"Kingwilliamstown, Cork","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","17",NA,"Not Assistant",NA
"O'Connor, Mr. Maurice",16,"Boherbue, Cork","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","16",NA,"Not Assistant",NA
"O'Connor, Mr. Patrick",23,"Kingwilliamstown, Cork","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"O'Driscoll, Miss Bridget",24,"Ballydehob, Cork","Queenstown","Jersey City, New Jersey, US","D",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","24",NA,"Not Assistant",NA
"O'Dwyer, Miss Ellen ""Nellie""",25,"Limerick, Limerick","Queenstown","New York City","?",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","25",NA,"Not Assistant",NA
"O'Keefe, Mr. Patrick",22,"Waterford, Waterford","Queenstown","New York City","B",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","22",NA,"Not Assistant",NA
"O'Leary, Miss Hanora ""Nora""",16,"Kingwilliamstown, Cork","Queenstown","New York City","13",NA,"Third","Ireland",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","16",NA,"Not Assistant",NA
"O'Sullivan, Miss Bridget Mary",21,"Glenduff, Kerry","Queenstown","New York City",NA,NA,"Third","Ireland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","21",NA,"Not Assistant",NA
"Ödahl, Mr. Nils Martin",23,"Örsjö, Kalmar","Southampton","Peoria, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","23",NA,"Not Assistant",NA
"Öhman, Miss Velin",22,"Mariestad, Västergötland","Southampton","Chicago, Illinois, US","C",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Female","22",NA,"Not Assistant",NA
"Olsen, Mr. Henry Margido",28,"Bergen","Southampton","New York City",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Olsen, Mr. Karl Siegwart Andreas",42,"Trondheim","Southampton","Brooklyn, New York, US",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","42",NA,"Not Assistant",NA
"Olsen, Master Arthur Carl",9,"Trondheim","Southampton","Brooklyn, New York, US","13",NA,"Third","Norway",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","9",NA,"Not Assistant",NA
"Olsen, Mr. Ole Martin",27,"Sunnhordland","Southampton","Broderick, Canada",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","27",NA,"Not Assistant",NA
"Olsson, Miss Elina",31,"Södra Brantevik","Southampton","St. Paul, Minnesota, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","31",NA,"Not Assistant",NA
"Olsson, Mr. Nils Johan Göransson",28,"Eslöv, Skåne","Southampton","New York City",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","28",NA,"Not Assistant",NA
"Olsson, Mr. Oskar Wilhelm",32,"Lunna, Orust Island","Southampton","Manitowoc, Wisconsin, US","A",NA,"Third","Sweden",NA,NA,NA,"Survived",NA,NA,"Not Crew","Male","32",NA,"Not Assistant",NA
"Olsvingen, Mr. Thor Andersen",20,"Vikersund","Southampton","Carneron, US",NA,NA,"Third","Norway",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Orešković, Miss Jelka",23,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","23",NA,"Not Assistant",NA
"Orešković, Mr. Luka",20,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","20",NA,"Not Assistant",NA
"Orešković, Miss Marija",20,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","20",NA,"Not Assistant",NA
"Osén, Mr. Olaf Elon",16,"Hedesunda, Gävleborg","Southampton","Mitchell, South Dakota, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","16",NA,"Not Assistant",NA
"Pålsson, Mrs. Alma Cornelia (née Berglund)",29,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","29",NA,"Not Assistant",NA
"Pålsson, Miss Torborg Danira",8,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","8",NA,"Not Assistant",NA
"Pålsson, Master Paul Folke",6,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","6",NA,"Not Assistant",NA
"Pålsson, Miss Stina Viola",3,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","3",NA,"Not Assistant",NA
"Pålsson, Master Gösta Leonard",2,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden",NA,NA,NA,"Perished",NA,NA,"Not Crew","Male","2",NA,"Not Assistant",NA
"Panula, Mrs. Maija Emelia Abrahamintytar (née Ketola-Ojala)",41,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland",NA,NA,NA,"Perished",NA,NA,"Not Crew","Female","41",NA,"Not Assistant",NA
