"name","age","hometown","boarded","destination","lifeboat","body","class","homecountry","survivaloutcome","position","crew","sex","agecharacter"
"Morley, Mr. William",34,"Petworth, West Sussex","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","34"
"Morrow, Mr. Thomas Rowan",30,"Rathfriland, Down","Queenstown","Gleichen, Alberta, Canada",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","30"
"Moss, Mr. Albert Johan",29,"Bergen","Southampton","New York City","B",NA,"Third","Norway","Survived",NA,"Not Crew","Male","29"
"Moussa, Mrs. Mantoura",35,"Hardîne","Cherbourg","Wilkes-Barre, Pennsylvania, US","?",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","35"
"Moutal, Mr. Rahamin Haim",28,"London","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","28"
"Mubarik, Mrs. Amanah Fa'ud (née Iskandar)",24,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","24"
"Mubarik, Master Gerios",7,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Male","7"
"Mubarik, Master Halim Gonios",4,"Hardîne","Cherbourg","Houtzdale, Pennsylvania, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Male","4"
"Mullen, Miss Katherine ""Katie""",19,"Esker, Longford","Queenstown","New York City","16",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","19"
"Mulvihill, Miss Bridget Elizabeth ""Bertha""",25,"Athlone, Westmeath","Queenstown","Providence, Rhode Island, US","15",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","25"
"Murdlin, Mr. Joseph",22,"London","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","22"
"Murphy, Miss Catherine ""Kate""",18,"Aghnacliffe, Longford","Queenstown","Philadelphia, Pennsylvania, US","16",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","18"
"Murphy, Miss Margaret Jane ""Maggie/Mary""",25,"Fostragh, Longford","Queenstown","Philadelphia, Pennsylvania, US","16",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","25"
"Murphy, Miss Nora",34,"Dublin","Queenstown","New York City","16",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","34"
"Muslamani, Mrs. Fatimah",22,"Tebnine","Cherbourg","Michigan City, Indiana, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","22"
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",18,"Kristinehamn, Värmland","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","18"
"Nackid, Mr. Sahid",20,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Male","20"
"Nackid, Miss Waika ""Mary"" (née Mowad)",19,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","19"
"Nackid, Miss Maria",1,"Zgharta","Cherbourg","Waterbury, Connecticut, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","1"
"Naidenoff, Mr. Penko",22,"Gumostnik, Lovech","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","22"
"Nakli-Khoury, Mr. Toufik",17,"Hardîne","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","17"
"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall","Southampton","Yonkers, New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","33"
"Nankoff, Mr. Minko",32,"Unknown","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","32"
"Nasr Alma, Mr. Mustafa",20,"Tebnine","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","20"
"Nassr Rizq, Mr. Saade",20,"Sir'Al","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","20"
"Naughton, Miss Hannah",21,"Donoughmore","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Female","21"
"Nenkoff, Mr. Christo",22,"Unknown","Southampton","Coon Rapids, Iowa, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","22"
"Nieminen, Miss Manta Josefiina",29,"Karinainen","Southampton","Aberdeen, Washington, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Female","29"
"Niklasson, Mr. Samuel",28,"Västra Bogane, Orust Island","Southampton","New York City",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","28"
"Nilsson, Mr. August Ferdinand",21,"Hörby, Skåne","Southampton","St. Paul, Minnesota, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","21"
"Nilsson, Miss Berta Olivia",18,"Lysvik, Värmland","Southampton","Missoula, Montana, US","D",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","18"
"Nilsson, Miss Helmina Josefina",26,"Ramkvilla, Småland","Southampton","Joliet, Illinois, US","13",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","26"
"Niqula-Yarid, Miss Jamilah",14,"El-Hakour","Cherbourg","Jacksonville, Florida, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Female","14"
"Niqula-Yarid, Master Ilyas",12,"El-Hakour","Cherbourg","Jacksonville, Florida, US","C",NA,"Third","Lebanon","Survived",NA,"Not Crew","Male","12"
"Nirva, Mr. Iisakki Antino Äijö",41,"Kauhajoki","Southampton","Sudbury, Ontario, Canada",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","41"
"Niskanen, Mr. Juha",39,"Kivijärvi","Southampton","Boston, Massachusetts, US","9",NA,"Third","Finland","Survived",NA,"Not Crew","Male","39"
"Nofal, Mr. Mansur",20,"Kafr Mishki","Cherbourg","Ottawa, Ontario, Canada",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","20"
"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon","Southampton","Buffalo, New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","21"
"Nysten, Miss Anna Sofia",22,"Kisa, Östergötland","Southampton","Hackensack, New Jersey, US","13",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","22"
"Nysveen, Mr. Johan Hansen",61,"Øyer","Southampton","Grand Forks, North Dakota, US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","61"
"O'Brien, Mr. Thomas",27,"Pallasgreen, Limerick","Queenstown","Chicago, Illinois, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","27"
"O'Brien, Mrs. Johanna ""Hannah"" (née Godfrey)",26,"Pallasgreen, Limerick","Queenstown","New York City","?",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","26"
"O'Brien, Mr. Timothy",21,"Drimoleague, Cork","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","21"
"O'Connell, Mr. Patrick Denis",17,"Kingwilliamstown, Cork","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","17"
"O'Connor, Mr. Maurice",16,"Boherbue, Cork","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","16"
"O'Connor, Mr. Patrick",23,"Kingwilliamstown, Cork","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","23"
"O'Driscoll, Miss Bridget",24,"Ballydehob, Cork","Queenstown","Jersey City, New Jersey, US","D",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","24"
"O'Dwyer, Miss Ellen ""Nellie""",25,"Limerick, Limerick","Queenstown","New York City","?",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","25"
"O'Keefe, Mr. Patrick",22,"Waterford, Waterford","Queenstown","New York City","B",NA,"Third","Ireland","Survived",NA,"Not Crew","Male","22"
"O'Leary, Miss Hanora ""Nora""",16,"Kingwilliamstown, Cork","Queenstown","New York City","13",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","16"
"O'Sullivan, Miss Bridget Mary",21,"Glenduff, Kerry","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Female","21"
"Ödahl, Mr. Nils Martin",23,"Örsjö, Kalmar","Southampton","Peoria, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","23"
"Öhman, Miss Velin",22,"Mariestad, Västergötland","Southampton","Chicago, Illinois, US","C",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","22"
"Olsen, Mr. Henry Margido",28,"Bergen","Southampton","New York City",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","28"
"Olsen, Mr. Karl Siegwart Andreas",42,"Trondheim","Southampton","Brooklyn, New York, US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","42"
"Olsen, Master Arthur Carl",9,"Trondheim","Southampton","Brooklyn, New York, US","13",NA,"Third","Norway","Survived",NA,"Not Crew","Male","9"
"Olsen, Mr. Ole Martin",27,"Sunnhordland","Southampton","Broderick, Canada",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","27"
"Olsson, Miss Elina",31,"Södra Brantevik","Southampton","St. Paul, Minnesota, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Female","31"
"Olsson, Mr. Nils Johan Göransson",28,"Eslöv, Skåne","Southampton","New York City",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","28"
"Olsson, Mr. Oskar Wilhelm",32,"Lunna, Orust Island","Southampton","Manitowoc, Wisconsin, US","A",NA,"Third","Sweden","Survived",NA,"Not Crew","Male","32"
"Olsvingen, Mr. Thor Andersen",20,"Vikersund","Southampton","Carneron, US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","20"
"Orešković, Miss Jelka",23,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Female","23"
"Orešković, Mr. Luka",20,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Male","20"
"Orešković, Miss Marija",20,"Konjsko Brdo","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Female","20"
"Osén, Mr. Olaf Elon",16,"Hedesunda, Gävleborg","Southampton","Mitchell, South Dakota, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","16"
"Pålsson, Mrs. Alma Cornelia (née Berglund)",29,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Female","29"
"Pålsson, Miss Torborg Danira",8,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Female","8"
"Pålsson, Master Paul Folke",6,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","6"
"Pålsson, Miss Stina Viola",3,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Female","3"
"Pålsson, Master Gösta Leonard",2,"Bjuv, Skåne","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","2"
"Panula, Mrs. Maija Emelia Abrahamintytar (née Ketola-Ojala)",41,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Female","41"
"Panula, Mr. Ernesti Arvid",16,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","16"
"Panula, Mr. Jaakko Arnold",15,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","15"
"Panula, Master Juha Niilo",7,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","7"
"Panula, Master Urho Abraham",2,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","2"
"Panula, Master Eino Viljami",1,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","1"
"Pašič, Mr. Jakov",21,"Streklevac","Southampton","Aurora, Illinois, US",NA,NA,"Third","Slovenia","Perished",NA,"Not Crew","Male","21"
"Patchett, Mr. George",19,"Wollaston, Northamptonshire","Southampton","Kitchener, Ontario, Canada",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","19"
"Pavlović, Mr. Štefo",32,"Vagovina","Southampton","Harrisburg, Pennsylvania, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Male","32"
"Peacock, Mrs. Edith (née Nile)",26,"Southampton, Hampshire","Southampton","Elizabeth, New Jersey, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","26"
"Peacock, Miss Treasteall",4,"Southampton, Hampshire","Southampton","Elizabeth, New Jersey, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","4"
"Peacock, Master Alfred Edward",0,"Southampton, Hampshire","Southampton","Elizabeth, New Jersey, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","7 mo."
"Pearce, Mr. Ernest",32,"London","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","32"
"Pedersen, Mr. Olaf",28,"Sandefjord","Southampton","Seattle, Washington, US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","28"
"Peduzzi, Mr. Giuseppe",24,"London","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","24"
"Pekoniemi, Mr. Edvard Johannes",21,"Heinola","Southampton","New York City",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","21"
"Peltomäki, Mr. Nikolai Johannes",25,"Helsinki","Southampton","New York City",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","25"
"Perkin, Mr. John Henry",22,"Holsworthy, Devon","Southampton","Saskatoon, Saskatchewan, Canada",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","22"
"Perse Mr. Jamie",24,"London","Southampton","New York, New York, US","C",NA,"Third","England","Survived",NA,"Not Crew","Male","24"
"Persson, Mr. Ernst Ulrik",25,"Stockholm, Uppland","Southampton","Indianapolis, Indiana, US","15",NA,"Third","Sweden","Survived",NA,"Not Crew","Male","25"
"Peters, Miss Catherine ""Katie""",26,"Cahir, Tipperary","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Female","26"
"Petersen, Mr. Marius",24,"London","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","24"
"Petranec, Miss Matilda",28,"Vagovina","Southampton","Harrisburg, Pennsylvania, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Female","28"
"Petroff, Mr. Nadjalko",19,"Gumostnik, Lovec","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","19"
"Petroff, Mr. Pastcho",29,"Belish, Troyan","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","29"
"Pettersson, Miss Ellen Natalia",18,"Stockholm, Uppland","Southampton","Iron Mountain, Michigan, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Female","18"
"Pettersson, Mr. Johan Emil",25,"Västermo, Södermanland","Southampton","Chicago, Illinois, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","25"
"Pickard, Mr. Berk (Trembisky)",32,"Warsaw","Southampton","San Francisco, US","9",NA,"Third","Poland","Survived",NA,"Not Crew","Male","32"
"Plotcharsky, Mr. Vasil",27,"Unknown","Southampton","Tulsa, Oklahoma, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","27"
"Pocrnić, Mr. Mate",17,"Bukovac","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Male","17"
"Pocrnić, Mr. Tome",24,"Bukovac","Southampton","Chicago, Illinois, US",NA,NA,"Third","Croatia","Perished",NA,"Not Crew","Male","24"
"Pullner, Mr. Uscher",16,"Unknown","Cherbourg","New York City",NA,NA,"Third","Unknown","Perished",NA,"Not Crew","Male","16"
"Radeff, Mr. Alexander",27,"Unknown","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","27"
"Rasmussen, Mrs. Lena Jakobsen (née Solvang)",62,"Haugesund, Rogaland","Southampton","Centerville, South Dakota, US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Female","62"
"Razi, Mr. Raihed",30,"Tebnine","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","30"
"Reed, Mr. James George",19,"Penarth, Glamorgan","Southampton","New York City",NA,NA,"Third","Wales","Perished",NA,"Not Crew","Male","19"
"Rekić, Mr. Tido",38,"Bosanska Krupa","Southampton","Harrisburg, Pennsylvania, US",NA,NA,"Third","Bosnia","Perished",NA,"Not Crew","Male","38"
"Reynolds, Mr. Harold J.",21,"London","Southampton","Toronto, Ontario, Canada",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","21"
"Rice, Mrs. Margaret (née Norton)",39,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Female","39"
"Rice, Master Albert",10,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","10"
"Rice, Master George Hugh",8,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","8"
"Rice, Master Frederick Thomas ""Eric""",7,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","7"
"Rice, Master Arthur",4,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","4"
"Rice, Master Eugene Francis",2,"Athlone, Westmeath","Queenstown","Spokane, Washington, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","2"
"Riihivuori, Miss Susanna Juhantytär ""Sanni""",22,"Ylihärmä, South Ostrobothnia","Southampton","Coal Center, Pennsylvania, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Female","22"
"Rintamäki, Mr. Matti",35,"Kyyny","Southampton","Sudbury, Ontario, Canada",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","35"
"Riordan, Miss Hannah",18,"Glenlougha, Cork","Queenstown","New York City","13",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","18"
"Risien, Mr. Samuel Beard",69,"Deal, Kent","Southampton","Groesbeck, Texas, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","69"
"Risien, Mrs. Emma Jane(née Lellyet)",58,"Durban","Southampton","Groesbeck, Texas, US",NA,NA,"Third","South Africa","Perished",NA,"Not Crew","Female","58"
"Robins, Mr. Alexander A.",50,"St Austell, Cornwall","Southampton","Yonkers, New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","50"
"Robins, Mrs. Grace Charity (née Laury)",47,"St Austell, Cornwall","Southampton","Yonkers, New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","47"
"Rogers, Mr. William John",29,"Pontardawe, West Glamorgan","Southampton","New York City",NA,NA,"Third","Wales","Perished",NA,"Not Crew","Male","29"
"Rommetvedt, Mr. Knud Paust",49,"Hogstad","Southampton","New York City",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","49"
"Rosblom, Mrs. Helena Wilhelmina",41,"Suistamo","Southampton","Astoria, Oregon, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Female","41"
"Rosblom, Mr. Viktor Rickard",18,"Suistamo","Southampton","Astoria, Oregon, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Male","18"
"Rosblom, Miss Salli Helena",2,"Suistamo","Southampton","Astoria, Oregon, US",NA,NA,"Third","Finland","Perished",NA,"Not Crew","Female","2"
"Roth, Miss Sarah A.",26,"London","Southampton","New York City","C",NA,"Third","England","Survived",NA,"Not Crew","Female","26"
"Rouse, Mr. Richard Henry",50,"Sittingbourne, Kent","Southampton","Cleveland, Ohio, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","50"
"Rush, Mr. Alfred George John",16,"Strood, Kent","Southampton","Detroit, Michigan, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","16"
"Ryan, Mr. Edward",24,"Ballinascreen, Tipperary","Queenstown","Troy, New York, US","14",NA,"Third","Ireland","Survived",NA,"Not Crew","Male","24"
"Ryan, Mr. Patrick",29,"Askeaton, Limerick","Queenstown","Bronx, New York, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","29"
"Ryan Mr. Tommy",26,"Dublin","Queenstown","New York, New York, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","26"
"Sæther, Mr. Simon Sivertsen",43,"Skaun, Sør-Trøndelag","Southampton","US",NA,NA,"Third","Norway","Perished",NA,"Not Crew","Male","43"
"Saad, Mr. Amin",30,"Tebnine","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","30"
"Saad, Mr. Khalil",25,"Kfar Mechi","Cherbourg","Ottawa, Ontario, Canada",NA,NA,"Third","Syria","Perished",NA,"Not Crew","Male","25"
"Sadlier, Mr. Matthew",20,"Mohill, Leitrim","Queenstown","Lakewood Township, New Jersey, US",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","20"
"Sadowitz, Mr. Harry",17,"London","Southampton","Providence, Rhode Island, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","17"
"Sage, Mr. John George",44,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","44"
"Sage, Mrs. Annie Elizabeth (née Cazaly)",44,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","44"
"Sage, Miss Stella Anne",20,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","20"
"Sage, Mr. George John",19,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","19"
"Sage, Mr. Douglas Bullen",18,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","18"
"Sage, Mr. Frederick",16,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","16"
"Sage, Miss Dorothy Florence ""Dolly""",14,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","14"
"Sage, Master Anthony William ""Will""",13,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","13"
"Sage, Miss Elizabeth Ada",10,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","10"
"Sage, Miss Constance Gladys",7,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Female","7"
"Sage, Master Thomas Henry",4,"Peterborough, Cambridgeshire","Southampton","Jacksonville, Florida, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","4"
"Salander, Mr. Karl Johan",24,"Genevad, Halland","Southampton","Red Wing, Minnesota, US",NA,NA,"Third","Sweden","Perished",NA,"Not Crew","Male","24"
"Salkjelsvik, Miss Anna Kristine",21,"Ålesund, Møre og Romsdal","Southampton","Proctor, Minnesota, US","C",NA,"Third","Norway","Survived",NA,"Not Crew","Female","21"
"Salonen, Mr. Johan Verner",39,"Aberdeen, Washington","Southampton","Aberdeen, Washington, US",NA,NA,"Third","US","Perished",NA,"Not Crew","Male","39"
"Sa'maan, Master Butrus",10,"Hardîne","Cherbourg","Wilkes Barre, Pennsylvania, US",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","10"
"Sa'maan, Mr. Hanna Ilyas",40,"Hardîne","Cherbourg","Wilkes-Barre, Pennsylvania, US",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","40"
"Sa'maan, Mr. Ilyas",17,"Hardîne","Cherbourg","Wilkes-Barre, Pennsylvania, US",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","17"
"Sa'maan, Mr. Youssef Omar ""Joseph""",16,"Hardîne","Cherbourg","Wilkes-Barre, Pennsylvania, US",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","16"
"Sandström, Mrs. Agnes Charlotta (née Bengtsson)",24,"Motala, Östergötland","Southampton","San Francisco, US","13",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","24"
"Sandström, Miss Marguerite Rut",4,"Motala, Östergötland","Southampton","San Francisco, US","13",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","4"
"Sandström, Miss Beatrice Irene",1,"Motala, Östergötland","Southampton","San Francisco, US","13",NA,"Third","Sweden","Survived",NA,"Not Crew","Female","1"
"Sap, Mr. Julius (Jules)",21,"Zwevezele","Southampton","Detroit, Michigan, US","11",NA,"Third","Belgium","Survived",NA,"Not Crew","Male","21"
"Saundercock, Mr. William Henry",19,"St Austell, Cornwall","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","19"
"Sawyer, Mr. Frederick Charles",33,"Basingstoke, Hampshire","Southampton","Halley, Michigan, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","33"
"Scanlan, Mr. James",22,"Rathkeale, Limerick","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","22"
"Scheerlinck, Mr. Jean Baptiste",29,"Haaltert, East Flanders","Southampton","Detroit, Michigan, US","11",NA,"Third","Belgium","Survived",NA,"Not Crew","Male","29"
"Sdycoff, Mr. Theodor",42,"Unknown","Southampton","Chicago, Illinois, US",NA,NA,"Third","Bulgaria","Perished",NA,"Not Crew","Male","42"
"Shaughnessy, Mr. Patrick",24,"Tynagh, Galway","Queenstown","New York City",NA,NA,"Third","Ireland","Perished",NA,"Not Crew","Male","24"
"Shawah, Mr. Yousseff Ibrahim",33,"Beirut","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","33"
"Shadid, Mr. Dahir Abu",19,"Ibrin","Cherbourg","Kulpmont, Pennsylvania, US",NA,NA,"Third","Syria or Lebanon","Perished",NA,"Not Crew","Male","19"
"Shellard, Mr. Frederick William Blainey",55,"Bristol, Avon","Southampton","Troy, New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","55"
"Shihab, Mr. Amir Faris",25,"Hadath","Cherbourg","New York City",NA,NA,"Third","Lebanon","Perished",NA,"Not Crew","Male","25"
"Shine, Miss Ellen Natalia",20,"Cork, Cork","Queenstown","New York City","?",NA,"Third","Ireland","Survived",NA,"Not Crew","Female","20"
"Shorney, Mr. Charles Joseph",22,"Heron's Ghyll, East Sussex","Southampton","New York, US",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","22"
"Simmons, Mr. John",39,"Leigh, Kent","Southampton","New York City",NA,NA,"Third","England","Perished",NA,"Not Crew","Male","39"
